num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
4,0,0,2048,2048,512,512,512,512,234.05038284830857,234.05038284830857,512,512,2048,512,2048,False,1,37af9_00000,2024-09-25_18-01-49,1727287309,2.191530466079712,2.191530466079712,12279,03067f08a5d7,172.30.0.2,2.191530466079712,1,512,512,2048,2048,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,2187.573,0.024,2187.508,1303.648,0.233,2200290.623,872.868,586.572,10.443,512,512,2048,2048,12.75,26.75,[],[],64.0,160.5,159.5,0.0,0.4560126387514174,0.19999999999999998,2e-05,-0.17462185101467184,-0.0025945222470909355,0.02784295215115833,-0.5702546812593937,0.0006330929250566442,1.7911468207836152,0.09999999999999999
4,0,0,4056,4056,1024,1024,512,512,33.56960598643096,33.56960598643096,1024,1024,4056,512,4056,False,2,37af9_00000,2024-09-25_18-02-04,1727287324,15.256181478500366,17.447711944580078,12279,03067f08a5d7,172.30.0.2,17.447711944580078,2,1024,1024,4056,4056,6.0,2.0,4.333333333333333,203.0,609,0,3,6.0,2.0,4.333333333333333,3,8719.738,0.023,8719.678,7855.876,0.208,2455670.266,854.802,598.969,8.523,1024,1024,4056,4056,15.828571428571431,29.62857142857142,"[2.0, 5.0, 6.0]","[183, 243, 183]",64.0,475.5,154.5,0.0,0.5380269223163204,0.09999999999999999,2e-05,-0.18015127648268978,-0.008414731111617819,0.02778866455412372,-0.31374044226061915,0.0013940123380228714,1.788231094037333,0.09999999999999999
4,0,0,6025,6025,1536,1536,512,512,25.2769881455967,25.2769881455967,1536,1536,6025,512,6025,False,3,37af9_00000,2024-09-25_18-02-24,1727287344,20.25877285003662,37.7064847946167,12279,03067f08a5d7,172.30.0.2,37.7064847946167,3,1536,1536,6025,6025,11.0,2.0,5.6,223.0,1115,0,2,11.0,2.0,5.6,2,12565.021,0.021,12564.966,11722.094,0.24,2129735.849,833.404,614.348,8.976,1536,1536,6025,6025,11.406896551724138,29.31379310344828,"[2.0, 5.0, 6.0, 11.0, 4.0]","[183, 243, 183, 343, 163]",64.0,780.5,149.5,0.0,0.597717881600062,0.049999999999999996,2e-05,-0.17908816318774673,-0.007397530923287074,0.0260996352902536,-0.3966175417105357,0.000563854570705189,1.7824373169740042,0.09999999999999999
4,0,0,8035,8035,2048,2048,512,512,35.88481126826745,35.88481126826745,2048,2048,8035,512,8035,False,4,37af9_00000,2024-09-25_18-02-38,1727287358,14.270811557769775,51.977296352386475,12279,03067f08a5d7,172.30.0.2,51.977296352386475,4,2048,2048,8035,8035,11.0,2.0,4.857142857142857,217.28571428571428,1521,0,2,11.0,2.0,4.857142857142857,2,12990.737,0.021,12990.684,12143.648,0.227,2252802.148,838.181,610.847,8.388,2048,2048,8035,8035,14.51,28.970000000000006,"[2.0, 5.0, 6.0, 11.0, 4.0, 4.0, 2.0]","[183, 243, 183, 343, 163, 223, 183]",64.0,1085.5,154.5,0.0,0.5399539864592013,0.024999999999999998,2e-05,-0.1753742198549932,-0.006392655641801896,0.03507045718457272,-0.15645228220570473,0.0009606635988991604,1.7777319181349969,0.09999999999999999
4,0,0,10045,10045,2560,2560,512,512,31.776984862187383,31.776984862187383,2560,2560,10045,512,10045,False,5,37af9_00000,2024-09-25_18-02-54,1727287374,16.11566925048828,68.09296560287476,12279,03067f08a5d7,172.30.0.2,68.09296560287476,5,2560,2560,10045,10045,11.0,2.0,5.363636363636363,212.0909090909091,2333,0,4,11.0,2.0,5.363636363636363,4,13615.049,0.019,13614.999,12774.613,0.234,2191757.142,831.253,615.938,8.657,2560,2560,10045,10045,20.804347826086957,30.095652173913045,"[2.0, 5.0, 6.0, 11.0, 4.0, 4.0, 2.0, 7.0, 7.0, 3.0, 8.0]","[183, 243, 183, 343, 163, 223, 183, 183, 223, 163, 243]",64.0,1395.5,154.5,0.0,0.6699362769362427,0.012499999999999999,2e-05,-0.17311580002137963,-0.007133907320037965,0.04263371203804479,-0.053823383969645346,0.0020688233685449073,1.7666617685748685,0.09999999999999999
4,0,0,12082,12082,3072,3072,512,512,47.43982382073862,47.43982382073862,3072,3072,12082,512,12082,False,6,37af9_00000,2024-09-25_18-03-05,1727287385,10.795289039611816,78.88825464248657,12279,03067f08a5d7,172.30.0.2,78.88825464248657,6,3072,3072,12082,12082,11.0,0.0,4.916666666666667,208.0,2496,0,1,11.0,0.0,4.916666666666667,1,13144.646,0.018,13144.598,12310.044,0.246,2077204.883,825.918,619.917,8.154,3072,3072,12082,12082,7.75,30.16875,"[2.0, 5.0, 6.0, 11.0, 4.0, 4.0, 2.0, 7.0, 7.0, 3.0, 8.0, 0.0]","[183, 243, 183, 343, 163, 223, 183, 183, 223, 163, 243, 163]",64.0,1705.5,154.5,0.0,0.5457607750931094,0.0062499999999999995,2e-05,-0.18016348148906422,-0.007444692632904456,0.018530186927490568,-0.29558193068350513,0.0017409581693794366,1.7736221798004643,0.09999999999999999
4,0,0,14130,14130,3584,3584,512,512,39.79976217445539,39.79976217445539,3584,3584,14130,512,14130,False,7,37af9_00000,2024-09-25_18-03-18,1727287398,12.868178844451904,91.75643348693848,12279,03067f08a5d7,172.30.0.2,91.75643348693848,7,3584,3584,14130,14130,11.0,0.0,4.666666666666667,204.33333333333334,3065,0,3,11.0,0.0,4.666666666666667,3,13104.611,0.017,13104.566,12266.502,0.254,2012906.472,829.733,617.066,7.843,3584,3584,14130,14130,16.68888888888889,29.966666666666665,"[2.0, 5.0, 6.0, 11.0, 4.0, 4.0, 2.0, 7.0, 7.0, 3.0, 8.0, 0.0, 4.0, 5.0, 2.0]","[183, 243, 183, 343, 163, 223, 183, 183, 223, 163, 243, 163, 183, 203, 183]",64.0,2020.5,159.5,0.0,0.5493519953917712,0.0031249999999999997,2e-05,-0.17702055343206666,-0.003861635777866468,0.017097294289851562,-0.3871794959530234,0.0018065978412747153,1.7743888385593891,0.09999999999999999
4,0,0,16120,16120,4096,4096,512,512,39.41933053884405,39.41933053884405,4096,4096,16120,512,16120,False,8,37af9_00000,2024-09-25_18-03-31,1727287411,12.992974519729614,104.74940800666809,12279,03067f08a5d7,172.30.0.2,104.74940800666809,8,4096,4096,16120,16120,11.0,0.0,4.388888888888889,203.0,3654,0,3,11.0,0.0,4.388888888888889,3,13090.105,0.017,13090.06,12254.534,0.263,1946065.834,827.475,618.75,7.557,4096,4096,16120,16120,17.357894736842105,30.373684210526317,"[2.0, 5.0, 6.0, 11.0, 4.0, 4.0, 2.0, 7.0, 7.0, 3.0, 8.0, 0.0, 4.0, 5.0, 2.0, 5.0, 2.0, 2.0]","[183, 243, 183, 343, 163, 223, 183, 183, 223, 163, 243, 163, 183, 203, 183, 203, 183, 203]",64.0,2335.5,154.5,0.0,0.5652798243107334,0.0015624999999999999,2e-05,-0.17291732422046124,-0.0019267647376944941,0.026432821000813535,-0.1971080828097559,0.00021752774792316228,1.7759909872085817,0.09999999999999999
4,0,0,18121,18121,4608,4608,512,512,23.26413029346816,23.26413029346816,4608,4608,18121,512,18121,False,9,37af9_00000,2024-09-25_18-03-53,1727287433,22.011718034744263,126.76112604141235,12279,03067f08a5d7,172.30.0.2,126.76112604141235,9,4608,4608,18121,18121,13.0,0.0,4.571428571428571,206.8095238095238,4343,0,3,13.0,0.0,4.571428571428571,3,14080.998,0.017,14080.954,13246.862,0.261,1963962.284,825.758,620.036,7.84,4608,4608,18121,18121,12.822580645161288,30.716129032258067,"[2.0, 5.0, 6.0, 11.0, 4.0, 4.0, 2.0, 7.0, 7.0, 3.0, 8.0, 0.0, 4.0, 5.0, 2.0, 5.0, 2.0, 2.0, 3.0, 1.0, 13.0]","[183, 243, 183, 343, 163, 223, 183, 183, 223, 163, 243, 163, 183, 203, 183, 203, 183, 203, 163, 163, 363]",64.0,2645.5,154.5,0.0,0.5682038233645501,0.0007812499999999999,2e-05,-0.17341630802820288,-0.0035224205709152643,0.03179282784478874,0.004609732666323262,0.0013183389930042444,1.7784312052111473,0.09999999999999999
4,0,0,20129,20129,5120,5120,512,512,27.193716710632604,27.193716710632604,5120,5120,20129,512,20129,False,10,37af9_00000,2024-09-25_18-04-12,1727287452,18.861215114593506,145.62234115600586,12279,03067f08a5d7,172.30.0.2,145.62234115600586,10,5120,5120,20129,20129,13.0,0.0,4.863636363636363,211.1818181818182,4646,0,1,13.0,0.0,4.863636363636363,1,14555.687,0.017,14555.643,13712.273,0.265,1929281.869,835.258,612.984,7.618,5120,5120,20129,20129,8.070370370370371,31.44814814814815,"[2.0, 5.0, 6.0, 11.0, 4.0, 4.0, 2.0, 7.0, 7.0, 3.0, 8.0, 0.0, 4.0, 5.0, 2.0, 5.0, 2.0, 2.0, 3.0, 1.0, 13.0, 11.0]","[183, 243, 183, 343, 163, 223, 183, 183, 223, 163, 243, 163, 183, 203, 183, 203, 183, 203, 163, 163, 363, 303]",64.0,2955.5,154.5,0.0,0.5759574546208305,0.00039062499999999997,2e-05,-0.17536156780514567,-0.004480258195150283,0.027146462505709592,-0.24648809202255742,0.0005381248481722511,1.7766813212825405,0.09999999999999999
